subject,topic,question,A,B,C,D,answer,explanation
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Các tạng trong ngực: tim, phổi, thực quản nhận sự chi phối của thần kinh phó giao cảm xuất phát từ:",Chất xám tủy sống S2-S4,Trung não: dây thần kinh III,Hành não: dây thần kinh X,Hành não: dây thần kinh IX,C,"Theo book_17_SinhLyTKVanDong_raw.docx, Xuất phát: Hành não: dây X; Nơi chi phối: - Các tạng trong ngực: tim, phổi, thực quản...; - Các tạng trong bụng: dạ dày, ruột non, nửa đầu ruột già, gan, túi mật, tụy. Vì vậy đáp án C (Hành não: dây thần kinh X) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Đặc điểm dẫn truyền cảm giác nhiệt, NGOẠI TRỪ:",Sợi trục tận cùng của nơron thứ 3 ở thùy đỉnh,Loại sợi Aδ có myelin dẫn truyền nhanh cảm giác lạnh,Chặng thứ hai dẫn truyền tủy sống lên thân não và đồi thị,Nơron thứ 2 có thân ở đồi thị,D,"Theo DeCuong2025_SinhLyThanKinh.docx, Nơron thứ ba: thân nằm ở đồi thị, sợi trục tận cùng ở thùy đỉnh của vỏ não.. Vì câu hỏi yêu cầu chọn phương án ngoại lệ/không đúng, đáp án D (Nơron thứ 2 có thân ở đồi thị) là lựa chọn không phù hợp với nội dung chuẩn của tài liệu."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Đặc điểm dẫn truyền cảm giác nhiệt, NGOẠI TRỪ:",Sợi trục tận cùng của nơron thứ 3 ở thùy đỉnh,Loại sợi Aδ có myelin dẫn truyền nhanh cảm giác nóng,Chặng thứ hai dẫn truyền tủy sống lên thân não và đồi thị,Nơron thứ 2 có thân ở sừng sau tủy sống,B,"Theo DeCuong2025_SinhLyThanKinh.docx, + Loại sợi Aδ có myelin: dẫn truyền nhanh cảm giác lạnh.. Vì câu hỏi yêu cầu chọn phương án ngoại lệ/không đúng, đáp án B (Loại sợi Aδ có myelin dẫn truyền nhanh cảm giác nóng) là lựa chọn không phù hợp với nội dung chuẩn của tài liệu."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Nhóm hạch dưới hàm, hạch dưới lưỡi của hệ thần kinh phó giao cảm, thuộc dây thần kinh sọ não số:",III,VII’,IX,X,B,"Theo book_17_SinhLyTKVanDong_raw.docx, + Hạch dưới hàm, dưới lưỡi: thuộc dây thần kinh VII'.. Vì vậy đáp án B (VII’) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Đặc điểm cảm giác nhiệt, NGOẠI TRỪ:",Thụ thể nhận cảm nóng là tiểu thể Ruffini,Trung tâm cảm giác nhiệt ở vỏ não,Loại sợi C không có myelin dẫn truyền chậm cảm giác nóng,Thụ thể nóng có tính thích nghi rất nhanh nhưng không hoàn toàn,D,"Theo DeCuong2025_SinhLyThanKinh.docx, Thụ thể nhiệt nhất là thụ thể lạnh có tính thích nghi rất nhanh nhưng không hoàn toàn.. Vì câu hỏi yêu cầu chọn phương án ngoại lệ/không đúng, đáp án D (Thụ thể nóng có tính thích nghi rất nhanh nhưng không hoàn toàn) là lựa chọn không phù hợp với nội dung chuẩn của tài liệu."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Nhóm hạch nằm ngay trong thành các tạng ở cổ, ngực, bụng của hệ thần kinh phó giao cảm, thuộc dây thần kinh sọ não số:",III,VII',IX,X,D,"Theo book_17_SinhLyTKVanDong_raw.docx, + Các hạch nằm ngay trong thành các tạng ở cổ, ngực, bụng: thuộc dây thần kinh X và phần xuất phát từ S2-S4.. Vì vậy đáp án D (X) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Dẫn truyền hướng tâm các sợi cảm giác xúc giác vùng đầu mặt của dây V đi theo bó:,Bó gai thị sau,Bó gai thị trước,Đi thẳng từ dây thần kinh sọ não số V về đồi thị,Đi thẳng từ dây thần kinh sọ não số V về vỏ não,A,"Theo DeCuong2025_SinhLyThanKinh.docx, Bó gai thị sau: sợi to, có myelin, dẫn truyền nhanh cảm giác xúc giác tinh tế. Đường dẫn truyền:. Vì vậy đáp án A (Bó gai thị sau) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Chất làm giảm tính hưng phấn của noron do làm tăng ngưỡng kích thích:,Cafein,Thuốc tê,Strychnine,Theophylin,B,"Theo book_15_SinhLyNoRonSyNap_raw.docx, + Ảnh hưởng của thuốc: thuốc làm tăng tính hưng phấn do làm giảm ngưỡng kích thích như cafein, theophyllin, theobromin; thuốc làm tăng tính hưng phấn do ức chế các chất truyền đạt ức chế như strychnine.... Vì vậy đáp án B (Thuốc tê) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Nhóm hạch mi của hệ thần kinh phó giao cảm, thuộc dây thần kinh sọ não số:",III,VII',IX,X,A,"Theo book_17_SinhLyTKVanDong_raw.docx, + Hạch mi: thuộc dây thần kinh III.. Vì vậy đáp án A (III) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Đặc điểm phản xạ có điều kiện, NGOẠI TRỪ:",Trung tâm phản xạ là vỏ não,Có tính chất cá thể,Có tính chất vĩnh viễn,Không có tính di truyền,C,"Theo book_19_SinhLyTKCaoCap_raw.docx, Phản xạ không điều kiện: Có tính chất vĩnh viễn, suốt đời; Phản xạ có điều kiện: Có tính chất tạm thời, mất đi khi không được củng cố. Vì câu hỏi yêu cầu chọn phương án ngoại lệ/không đúng, đáp án C (Có tính chất vĩnh viễn) là lựa chọn không phù hợp với nội dung chuẩn của tài liệu."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Tổn thương vị trí tủy sống C1 - C2 bên phải gây ảnh hưởng đến cảm giác:,"Mất cảm giác xúc giác tinh tế bên phải - cảm giác nhiệt, đau, xúc giác thô sơ bên trái","Mất cảm giác xúc giác tinh tế bên trái - cảm giác nhiệt, đau, xúc giác thô sơ bên phải","Mất cảm giác xúc giác thô sơ phải - cảm giác nhiệt, đau, xúc giác tinh vi bên trái","Mất cảm giác xúc giác thô sơ trái - cảm giác nhiệt, đau, xúc giác tinh vi bên phải",A,"Theo book_16_SinhLyThanKinhCamGiac_raw.docx, Tổn thương vùng này: bệnh nhân không cảm nhận được sự thay đổi áp suất lên cơ thể, không đánh giá đúng trọng lượng của vật, không nhận biết được hình dạng của vật và tính chất bề mặt của vật..... Vì vậy đáp án A (Mất cảm giác xúc giác tinh tế bên phải - cảm giác nhiệt, đau, xúc giác thô sơ bên trái) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Đặc điểm của hệ thần kinh tự chủ, NGOẠI TRỪ:",Các sợi tiền hạch của hệ giao cảm và hệ phó giao cảm đều là sợi adrenergic,Acetylcholin khi được tiêm vào hạch sẽ kích thích noron hậu hạch của cả hệ giao cảm và phó giao cảm,Các sợi hậu hạch của hệ phó giao cảm đều là sợi cholinergic,Phần lớn sợi hậu hạch của hệ giao cảm là sợi adrenergic,A,"Theo DeCuong2025_SinhLyThanKinh.docx, + Sợi tiền hạch giao cảm và phó giao cảm.. Vì câu hỏi yêu cầu chọn phương án ngoại lệ/không đúng, đáp án A (Các sợi tiền hạch của hệ giao cảm và hệ phó giao cảm đều là sợi adrenergic) là lựa chọn không phù hợp với nội dung chuẩn của tài liệu."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Chức năng của tế bào thần kinh đệm:,Dẫn truyền xung động thần kinh,Hỗ trợ hoạt động cho các tế bào thần kinh,Tiếp nhận thông tin,Xử lý thông tin của noron,B,"Theo book_15_SinhLyNoRonSyNap_raw.docx, Các tế bào đệm chiếm thể tích lớn trong não bộ, có chức năng hỗ trợ hoạt động cho các tế bào thần kinh. Một số loại tế bào thần kinh đệm ở cấu trúc não người trưởng thành có các đặc tính của tế bào gốc dòng thần kinh.... Vì vậy đáp án B (Hỗ trợ hoạt động cho các tế bào thần kinh) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Ảnh hưởng của pH toan lên tính hưng phấn của noron:,Tăng tính hưng phấn của noron có thể gây hôn mê,Tăng tính hưng phấn của noron có thể gây co giật,Giảm tính hưng phấn của noron có thể gây co giật,Giảm tính hưng phấn của noron có thể gây hôn mê,D,"Theo book_15_SinhLyNoRonSyNap_raw.docx, + Ảnh hưởng của pH: nhiễm kiềm làm tăng tính hưng phấn của nơron có thể gây co giật, động kinh; nhiễm toan làm giảm tính hưng phấn của nơron có thể gây hôn mê.. Vì vậy đáp án D (Giảm tính hưng phấn của noron có thể gây hôn mê) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Đặc điểm của receptor nhận cảm nhiệt lạnh:,Còn có tên gọi tiểu thể Ruffini,Bắt đầu hoạt động ở nhiệt độ 20 - 25°C,Có tính chất thích nghi nhanh nhưng không hoàn toàn,Mất hẳn ở nhiệt độ 38 - 43°C,C,"Theo book_16_SinhLyThanKinhCamGiac_raw.docx, Thụ thể nhiệt nhất là thụ thể lạnh có tính thích nghi rất nhanh nhưng không hoàn toàn.. Vì vậy đáp án C (Có tính chất thích nghi nhanh nhưng không hoàn toàn) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Các thuốc sau đây gây ức chế hoạt động tế bào thần kinh, NGOẠI TRỪ:",Strychnine,Lidocain,Seduxen,Propofol,A,"Theo DeCuong2025_SinhLyThanKinh.docx, + Ảnh hưởng của thuốc: thuốc làm tăng tính hưng phấn do làm giảm ngưỡng kích thích như cafein, theophyllin, theobromin; thuốc làm tăng tính hưng phấn do ức chế các chất truyền đạt ức chế như strychnine.... Vì câu hỏi yêu cầu chọn phương án ngoại lệ/không đúng, đáp án A (Strychnine) là lựa chọn không phù hợp với nội dung chuẩn của tài liệu."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Đặc điểm của phản xạ có điều kiện, NGOẠI TRỪ:","Có tính chất tập luyện, được xây dựng trong quá trình sống",Có tính chất cá thể,"Có tính chất tạm thời, mất đi khi không được củng cố",Phụ thuộc vào tính chất của kích thích và bộ phận nhận cảm,D,"Theo book_19_SinhLyTKCaoCap_raw.docx, Phản xạ không điều kiện: Phụ thuộc vào tính chất của kích thích và bộ phận nhận cảm. Vì dụ: ánh sáng chiếu vào mắt gây co đồng từ, nhưng tiếng động không gây co đồng tử..... Vì câu hỏi yêu cầu chọn phương án ngoại lệ/không đúng, đáp án D (Phụ thuộc vào tính chất của kích thích và bộ phận nhận cảm) là lựa chọn không phù hợp với nội dung chuẩn của tài liệu."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Đặc điểm của PXCDK tự nhiên, NGOẠI TRỪ:","Dễ thành lập, hình thành trong môi trường tự nhiên",Thường tồn tại suốt đời,Có tính chất cá thể,Bền vững,C,"Theo book_19_SinhLyTKCaoCap_raw.docx, Phản xạ không điều kiện: Có tính chất chủng loài. Ví dụ: nhím gặp nguy hiểm dựng lông, cuộn tròn; Phản xạ có điều kiện: Có tính chất cá thể. Ví dụ: xiếc, đặt tên cho chó.. Vì câu hỏi yêu cầu chọn phương án ngoại lệ/không đúng, đáp án C (Có tính chất cá thể) là lựa chọn không phù hợp với nội dung chuẩn của tài liệu."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Đặc điểm của phó giao cảm, NGOẠI TRỪ:",Trung tâm ở sừng bên chất xám tủy sống D1-L2,Nơron hậu hạch có thân ở cạnh hạch phó giao cảm,"Hạch phó giao cảm xa trung tâm, gần tạng",Đường dẫn truyền gồm 2 noron,A,"Theo DeCuong2025_SinhLyThanKinh.docx, Trung tâm: sừng bên chất xám tủy sống đoạn D1-L2.. Vì câu hỏi yêu cầu chọn phương án ngoại lệ/không đúng, đáp án A (Trung tâm ở sừng bên chất xám tủy sống D1-L2) là lựa chọn không phù hợp với nội dung chuẩn của tài liệu."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Đặc điểm của hệ Cholinergic, NGOẠI TRỪ:",Acetylcholin tổng hợp ở tận cùng sợi cholinergic,Thời gian tác dụng Acetylcholin trong vài giây,Có 3 loại thụ thể,Thụ thể M nằm trên tế bào đáp ứng trong synap với sợi hậu hạch phó giao cảm,C,"Theo book_15_SinhLyNoRonSyNap_raw.docx, Cơ chế sau synap: chất truyền đạt thần kinh đến gắn vào thụ thể đặc hiệu ở màng sau synap. Tùy theo tính chất có thể gây hưng phấn hoặc ức chế ở màng sau synap. Có hai loại thụ thể:. Vì câu hỏi yêu cầu chọn phương án ngoại lệ/không đúng, đáp án C (Có 3 loại thụ thể) là lựa chọn không phù hợp với nội dung chuẩn của tài liệu."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Khi bất hoạt men Cholinesterase gây biểu hiện,Co đồng tử,Giảm nhu động ruột,Dãn cơ vân,Tăng huyết áp,A,"Theo book_17_SinhLyTKVanDong_raw.docx, Xuất phát: Trung não: dây III; Nơi chi phối: Co cơ đồng tử, cơ thể mi. Vì vậy đáp án A (Co đồng tử) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Tổng hợp myelin trong hệ thần kinh ngoại biên là đặc điểm của tế bào thần kinh đệm nào:,Tế bào hình sao,Tế bào ít nhánh,Tế bào Schwann,Tế bào vi mô,C,"Theo book_15_SinhLyNoRonSyNap_raw.docx, Tế bào Schwann: tổng hợp myelin trong hệ thần kinh ngoại biên.. Vì vậy đáp án C (Tế bào Schwann) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,Tổn thương vị trí tủy sống C1 - C2 bên trái gây ảnh hưởng đến cảm giác:,"Mất cảm giác xúc giác tinh vi bên trái - cảm giác nhiệt, đau, xúc giác thô sơ bên phải","Mất cảm giác xúc giác thô sơ phải - cảm giác nhiệt, đau, xúc giác tinh vi bên trái","Mất cảm giác xúc giác tinh vi bên phải - cảm giác nhiệt, đau, xúc giác thô sơ bên trái","Mất cảm giác xúc giác thô sơ trái - cảm giác nhiệt, đau, xúc giác tinh vi bên phải",A,"Theo book_16_SinhLyThanKinhCamGiac_raw.docx, Tổn thương vùng này: bệnh nhân không cảm nhận được sự thay đổi áp suất lên cơ thể, không đánh giá đúng trọng lượng của vật, không nhận biết được hình dạng của vật và tính chất bề mặt của vật..... Vì vậy đáp án A (Mất cảm giác xúc giác tinh vi bên trái - cảm giác nhiệt, đau, xúc giác thô sơ bên phải) là phù hợp với nội dung bài."
Sinh lý,Điều hòa bằng cơ chế thần kinh,"Đặc điểm của PXCDK nhân tạo, NGOẠI TRỪ:",Hình thành do chủ đích xây dựng của con người,Không bền vững,Là sự thích ứng của cá thể trong một giai đoạn đặc biệt,Dễ thành lập,D,"Theo book_19_SinhLyTKCaoCap_raw.docx, Dễ thành lập, hình thành trong môi trường tự nhiên; bền vững, thường tồn tại suốt đời và có tính chất loài. Ví dụ: phản xạ chuột sợ mèo.. Vì câu hỏi yêu cầu chọn phương án ngoại lệ/không đúng, đáp án D (Dễ thành lập) là lựa chọn không phù hợp với nội dung chuẩn của tài liệu."
Sinh lý,Điều hòa bằng cơ chế thần kinh,75% các sợi phó giao cảm nằm trong dây thần kinh:,X,III,VII,IX,A,"Theo book_17_SinhLyTKVanDong_raw.docx, Đường dẫn truyền: đường dẫn truyền từ trung tâm đến mô có hai nơron: nơron tiền hạch và nơron hậu hạch. Đặc biệt các sợi phó giao cảm xuất phát từ cuống não, hành não sẽ đi theo dây thần kinh III, VII, IX, X..... Vì vậy đáp án A (X) là phù hợp với nội dung bài."
